Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Format,Category,Type
S Dalton (CZK-R),2019-2019,3,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
N Dipakkumar Patel (PNM),2019-2019,3,1,0,0.0,0,0.0,0,0.0,0,0,1,0,0,T20,Batting,Batting
JN Dorji (BHU),2019-2019,1,1,0,0.0,0,0.0,0,0.0,0,0,1,0,0,T20,Batting,Batting
Ehsan Nawaz (HKG),2014-2017,5,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
M Faheem (THAI),2019-2019,4,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
Fakhrul Mohon (PORT),2019-2019,4,1,0,0.0,0,0.0,0,0.0,0,0,1,0,0,T20,Batting,Batting
Fiaz Ahmad (KUW),2019-2019,3,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
GC Galanis (),2019-2019,2,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
Gershon Yusuf (NGA),2019-2019,1,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
L Gharasim (ROM),2019-2019,2,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
M Goonetilleke (MALTA),2019-2019,1,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
SM Harwood (AUS),2007-2009,3,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
T Henderson (SA),2006-2006,1,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
KC Hodsoll (BMUDA),2008-2008,1,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
Imran Khan (1) (PAK),2015-2015,3,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
P Kerai (KENYA),2019-2019,6,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
S Keshvani (CAN),2010-2010,2,1,1,0.0,0*,0.0,1,0.0,0,0,0,0,0,T20,Batting,Batting
RN Lewis (WI),2008-2008,1,1,0,0.0,0,0.0,4,0.0,0,0,1,0,0,T20,Batting,Batting
CA Liyanage (Mald),2019-2019,2,2,1,0.0,0*,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
K Loday (BHU),2019-2019,1,1,1,0.0,0*,0.0,1,0.0,0,0,0,0,0,T20,Batting,Batting
AJ McKay (NZ),2010-2010,2,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
GI Maiden (SCOT),2008-2008,3,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
OM Marshall (Peru),2019-2019,3,1,0,0.0,0,0.0,3,0.0,0,0,1,0,0,T20,Batting,Batting
M Meade (Chile),2019-2019,1,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
A Mehmood (HKG),2016-2016,2,1,1,0.0,0*,0.0,1,0.0,0,0,0,0,0,T20,Batting,Batting
Michael Nazir (MALTA),2019-2019,1,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
TS Mills (ENG/ICC),2016-2018,5,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
A Mishra (INDIA),2010-2017,10,1,0,0.0,0,0.0,0,0.0,0,0,1,0,0,T20,Batting,Batting
Mohameed Taiwo (NGA),2019-2019,2,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
Mohammad Kashif (NL),2010-2010,3,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
Mohammad Qazi (CAN),2008-2008,1,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
Mohammed Nadeem (QAT),2019-2019,15,2,2,0.0,0*,0.0,1,0.0,0,0,0,0,0,T20,Batting,Batting
HJC Mol (NL),2008-2008,4,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
JK Mukhiya (NEPAL),2014-2015,4,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
Musa Shaheen (DEN),2019-2019,1,1,0,0.0,0,0.0,3,0.0,0,0,1,0,0,T20,Batting,Batting
T Muzarabani (ZIM),2015-2016,9,1,1,0.0,0*,0.0,2,0.0,0,0,0,0,0,T20,Batting,Batting
Naveed Ahmed (CZK-R),2019-2019,7,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
Nawaf Ahmed (KUW),2019-2019,1,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
A Nel (SA),2005-2007,2,1,1,0.0,0*,0.0,2,0.0,0,0,0,0,0,T20,Batting,Batting
AA Noffke (AUS),2007-2008,2,1,0,0.0,0,0.0,0,0.0,0,0,1,0,0,T20,Batting,Batting
Noor Momand (Belg),2019-2019,2,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
L Nussbaumer (GUE),2019-2019,1,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
A Orfila (GIBR),2019-2019,1,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
MM Patel (INDIA),2011-2011,3,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
PDRL Perera (SL),2006-2006,2,2,2,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
T Phaswana (Botsw),2019-2019,1,1,0,0.0,0,0.0,3,0.0,0,0,1,0,0,T20,Batting,Batting
Rahman Ademi (Serb),2019-2019,2,1,1,0.0,0*,0.0,4,0.0,0,0,0,0,0,T20,Batting,Batting
DM Richards (WI),2009-2009,1,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
R Rivas (Chile),2019-2019,3,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
Rumman Raees (PAK),2016-2018,8,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
NA Saini (INDIA),2019-2019,5,1,1,0.0,0*,0.0,1,0.0,0,0,0,0,0,T20,Batting,Batting
Sajid Liaqat (GER),2019-2019,2,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
K Santokie (WI),2011-2014,12,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
I Sawmy (DEN),2019-2019,2,2,1,0.0,0*,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
Shaheen Shah Afridi (PAK),2018-2019,10,1,1,0.0,0*,0.0,2,0.0,0,0,0,0,0,T20,Batting,Batting
A Shahzad (ENG),2010-2011,3,1,1,0.0,0*,0.0,3,0.0,0,0,0,0,0,T20,Batting,Batting
Shakeel Ansar (PAK),2012-2012,2,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
T Shamsi (SA),2017-2019,16,3,2,0.0,0*,0.0,5,0.0,0,0,1,0,0,T20,Batting,Batting
B Shikongo (NAM),2019-2019,11,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
BA Simango (Moz),2019-2019,2,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
M Simmons (BMUDA),2019-2019,2,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
M Simpson-Parker (Aut),2019-2019,3,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
MS Sinclair (NZ),2005-2007,2,2,0,0.0,0,0.0,5,0.0,0,0,2,0,0,T20,Batting,Batting
S Singh (PORT),2019-2019,1,1,0,0.0,0,0.0,9,0.0,0,0,1,0,0,T20,Batting,Batting
L Sipamla (SA),2019-2019,5,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
S Soosiyakumar (),2019-2019,1,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
ES Soto (CRC),2019-2019,1,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
L Sreekumar (UAE),2017-2017,1,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
H Ssenyondo (UGA),2019-2019,4,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
Taijul Islam (BDESH),2019-2019,2,1,1,0.0,0*,0.0,1,0.0,0,0,0,0,0,T20,Batting,Batting
Ziaur Rehman (Fin),2019-2019,1,1,0,0.0,0,0.0,4,0.0,0,0,1,0,0,T20,Batting,Batting
M Zondeki (SA),2006-2006,1,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
Zulqarnain Haider (ESP),2019-2019,5,1,0,0.0,0,0.0,0,0.0,0,0,1,0,0,T20,Batting,Batting
YA Abdulla (SA),2009-2009,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Abdur Rauf (PAK),2008-2008,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
RA Abolarin (NGA),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
F Achelam (UGA),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
GW Aldridge (NZ),2011-2011,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
TR Ambrose (ENG),2008-2008,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
A Anemogiannis (),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
S Aravind (INDIA),2015-2015,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
JC Archer (ENG),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Arsalan Qadir (CAN),2010-2010,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Asad Ali (PAK),2013-2013,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Atif Ali Khan (UAE),2016-2016,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
P Awana (INDIA),2012-2012,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
LS Baker (WI),2008-2009,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
L Balaji (INDIA),2012-2012,5,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
JT Ball (ENG),2018-2018,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
S Bantzas (),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
TC Bastiampillai (CAN),2010-2010,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
MD Bates (NZ),2012-2012,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
D Bau (PNG),2017-2017,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
JP Behrendorff (AUS),2017-2019,7,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
CC Blake (VAN),2019-2019,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
N Boje (SA),2005-2005,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
SM Boland (AUS),2016-2016,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
CG Burnett (SCOT),2013-2013,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
DK Butler (WI),2006-2006,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
RD Chahar (INDIA),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
N Chejay (BHU),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
C Chete (MWI),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
SR Clark (AUS),2006-2007,9,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
MS Crane (ENG),2017-2017,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
D Daesrath (CAN),2013-2013,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
M de Lange (SA),2012-2015,6,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
SI de Saram (SL),2009-2009,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
BJ Diamanti (NZ),2009-2009,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
V Dikov (),2019-2019,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
K Dorji (BHU),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
PS Eaglestone (IRE),2010-2010,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
BT Foakes (ENG),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
BC Fortuin (SA),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
O Fournier (CRC),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
R Frylinck (SA),2017-2018,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
ST Gabriel (WI),2013-2013,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Garret Banner (Blz),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
B Geeves (AUS),2009-2009,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
S Goud (CZK-R),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
D Gough (ENG),2005-2006,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
HF Gurney (ENG),2014-2014,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Hamza Tahir (SCOT),2018-2019,11,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
SJ Harmison (ENG),2005-2006,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
RJ Hatchman (GIBR),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
JR Hazlewood (AUS),2013-2016,7,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
J Hurley (Arg),2019-2019,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Ibrahim Khan (Saudi),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Iftikhar Anjum (PAK),2007-2009,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Imran Ashraf (QAT),2019-2019,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
D Jakiel (ZIM),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Joginder Sharma (INDIA),2007-2007,4,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
GJ Joseph (Blz),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Jubair Hossain (BDESH),2015-2015,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
TP Kamungozi (ZIM),2014-2014,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
M Kartik (INDIA),2007-2007,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
S Kaul (INDIA),2018-2019,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
UKPW Kumaranayaka (KUW),2019-2019,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
B Laughlin (AUS),2009-2013,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
E Leie (SA),2015-2015,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
RDM Leverock (BMUDA),2008-2008,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
ML Lewis (AUS),2006-2006,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
DSK Madushanka (SL),2018-2018,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
GT Main (SCOT),2015-2016,4,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Mansoor Amjad (PAK),2008-2008,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
M Markande (INDIA),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
A Martin (WI),2011-2011,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
B Masaba (UGA),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
WT Mashinge (ZIM),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
GJ McCarter (IRE),2015-2015,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
SC Meaker (ENG),2012-2012,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Mihusan Hamid (Mald),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Mohammad Shahid (BDESH),2016-2016,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Mohammed Shami (INDIA),2014-2019,8,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Mohammed Siraj (INDIA),2017-2018,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
GMC Mol (NL),2008-2008,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Muhammad Amir (MAL),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Muhammad Musa (PAK),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Mukhtiar Singh (ESP),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Musawar Shah (QAT),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
M Mwamadi (MWI),2019-2019,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
M Nandela (Mex),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Nasir Aziz (UAE),2015-2015,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
NH Naureen (ESP),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Nawazish Jezuli (Saudi),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
P Negi (INDIA),2016-2016,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
A Neill (SCOT),2019-2019,5,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
R Ngarava (ZIM),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
G Nikitas (),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
F Nkhoma (MWI),2019-2019,4,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
A Nortje (SA),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
IE O'Brien (NZ),2009-2009,4,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
E Ochieng (KENYA),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
RJG Palmer (JER),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
MA Parker (SCOT),2012-2012,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
MW Parkinson (ENG),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
AY Patel (NZ),2018-2018,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
J Perman (ESP),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
V Permaul (WI),2018-2018,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
R Pisal (ROM),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
KTGD Prasad (SL),2011-2011,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
M Pushpakumara (SL),2009-2009,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
S Qeshile (SA),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Raja Adeel (ESP),2019-2019,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Rashid Khan (NEPAL),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
KA Reynolds (Blz),2019-2019,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Robiul Islam (BDESH),2013-2013,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Rokhan Barakzai (AFG),2015-2015,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
AK Sah (NEPAL),2018-2018,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Sajedul Islam (BDESH),2013-2013,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Saqlain Sajib (BDESH),2016-2016,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
JD Schoonheim (NL),2008-2008,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
K Senamontree (THAI),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Shabbir Ahmed (PAK),2007-2007,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Shaffeq Muhammad (),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Sharif Asadullah (UAE),2014-2014,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
KV Sharma (INDIA),2014-2014,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
R Sharma (INDIA),2012-2012,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
NK Shetty (Mex),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
S Singh (PHI),2019-2019,4,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Soheel Hussain (Belg),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
BB Sran (INDIA),2016-2016,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
H Srinivasan (GER),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
TJ Stephenson (Blz),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
P Syafiq Ali (MAL),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Tanvir Ahmed (PAK),2010-2010,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
SN Thakur (INDIA),2018-2018,7,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
J Thinley (BHU),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
AC Thomas (SA),2007-2007,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
DC Thomas (WI),2009-2013,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
GC Tonge (WI),2009-2009,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
CT Tremlett (ENG),2007-2007,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
S Tyagi (INDIA),2009-2009,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
JD Unadkat (INDIA),2016-2018,10,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
MB van Schelven (NL),2015-2015,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Vichanath Singh (THAI),2019-2019,4,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
DJ Vilas (SA),2012-2012,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Vimal Kumar (PHI),2019-2019,2,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Vishal Ahir (PNM),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Waqas Maqsood (PAK),2018-2018,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
SR Welsh (CAN),2008-2008,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
SG Whittingham (SCOT),2018-2018,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
LJ Woodcock (NZ),2010-2011,3,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Zamir Khan (AFG),2012-2012,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
S Zargar (Mex),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
Ziaur Rahman (AFG),2019-2019,1,-,-,0.0,-,0.0,-,0.0,-,-,-,-,-,T20,Batting,Batting
