Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Format,Category,Type
WKM Benjamin (WI),1986-1995,85,85,4442,3079,100.0,5/22,30.79,4.15,44.4,0,1,ODI,Bowling,Bowling
SC Ganguly (Asia/INDIA),1992-2007,311,171,4561,3849,100.0,5/16,38.49,5.06,45.6,1,2,ODI,Bowling,Bowling
RA Harper (WI),1983-1996,105,99,5175,3431,100.0,4/40,34.31,3.97,51.7,3,0,ODI,Bowling,Bowling
CK Langeveldt (SA),2001-2010,72,71,3489,2962,100.0,5/39,29.62,5.09,34.8,1,2,ODI,Bowling,Bowling
RW Price (ZIM),2002-2012,102,99,5374,3575,100.0,4/22,35.75,3.99,53.7,1,0,ODI,Bowling,Bowling
NJ Astle (NZ),1995-2007,223,159,4850,3809,99.0,4/43,38.47,4.71,48.9,1,0,ODI,Bowling,Bowling
Kuldeep Yadav (INDIA),2017-2019,56,54,2952,2455,99.0,6/25,24.79,4.98,29.8,4,1,ODI,Bowling,Bowling
CJ McKay (AUS),2009-2014,59,59,2965,2364,97.0,5/28,24.37,4.78,30.5,4,2,ODI,Bowling,Bowling
PL Taylor (AUS),1987-1992,83,80,3937,2740,97.0,4/38,28.24,4.17,40.5,1,0,ODI,Bowling,Bowling
N Boje (Afr/SA),1995-2005,115,108,4541,3415,96.0,5/21,35.57,4.51,47.3,2,1,ODI,Bowling,Bowling
PJ Cummins (AUS),2011-2019,58,58,3033,2603,96.0,5/70,27.11,5.14,31.5,5,1,ODI,Bowling,Bowling
JP Faulkner (AUS),2013-2017,69,67,3211,2962,96.0,4/32,30.85,5.53,33.4,4,0,ODI,Bowling,Bowling
V Sehwag (Asia/ICC/INDIA),1999-2013,251,146,4392,3853,96.0,4/6,40.13,5.26,45.7,1,0,ODI,Bowling,Bowling
PA Strang (ZIM),1994-2001,95,89,4351,3173,96.0,5/21,33.05,4.37,45.3,2,2,ODI,Bowling,Bowling
TL Chatara (ZIM),2013-2019,70,70,3431,2905,95.0,4/33,30.57,5.08,36.1,1,0,ODI,Bowling,Bowling
PS de Villiers (SA),1992-1997,83,82,4422,2636,95.0,4/27,27.74,3.57,46.5,2,0,ODI,Bowling,Bowling
AJ Hall (SA),1999-2007,88,78,3341,2515,95.0,5/18,26.47,4.51,35.1,3,1,ODI,Bowling,Bowling
WD Parnell (SA),2009-2017,65,61,2911,2738,94.0,5/48,29.12,5.64,30.9,3,2,ODI,Bowling,Bowling
SO Tikolo (Afr/KENYA),1996-2014,135,99,4016,3215,94.0,4/41,34.2,4.8,42.7,2,0,ODI,Bowling,Bowling
LL Tsotsobe (SA),2009-2013,61,60,2964,2347,94.0,4/22,24.96,4.75,31.5,7,0,ODI,Bowling,Bowling
MJ Henry (NZ),2014-2019,52,50,2703,2437,92.0,5/30,26.48,5.4,29.3,7,2,ODI,Bowling,Bowling
SP Narine (WI),2011-2016,65,65,3540,2435,92.0,6/27,26.46,4.12,38.4,4,2,ODI,Bowling,Bowling
AC Cummins (CAN/WI),1991-2007,76,74,3767,2877,91.0,5/31,31.61,4.58,41.3,2,1,ODI,Bowling,Bowling
CB Mpofu (ZIM),2004-2019,83,82,3900,3513,91.0,6/52,38.6,5.4,42.8,2,1,ODI,Bowling,Bowling
BP Patterson (WI),1986-1993,59,58,3050,2206,90.0,6/29,24.51,4.33,33.8,1,1,ODI,Bowling,Bowling
BL Cairns (NZ),1974-1985,78,75,4015,2717,89.0,5/28,30.52,4.06,45.1,2,1,ODI,Bowling,Bowling
GH Dockrell (IRE),2010-2019,87,85,4232,3327,89.0,4/24,37.38,4.71,47.5,4,0,ODI,Bowling,Bowling
Saleem Malik (PAK),1982-1999,283,120,3505,2959,89.0,5/35,33.24,5.06,39.3,1,1,ODI,Bowling,Bowling
MN Samuels (WI),2000-2018,207,134,5091,4127,89.0,3/12,46.37,4.86,57.2,0,0,ODI,Bowling,Bowling
TM Alderman (AUS),1981-1991,65,65,3371,2056,88.0,5/17,23.36,3.65,38.3,1,2,ODI,Bowling,Bowling
GF Lawson (AUS),1980-1989,79,79,4259,2592,88.0,4/26,29.45,3.65,48.3,1,0,ODI,Bowling,Bowling
GJ Whittall (ZIM),1993-2003,147,112,4060,3481,88.0,4/35,39.55,5.14,46.1,1,0,ODI,Bowling,Bowling
AME Roberts (WI),1975-1983,56,56,3123,1771,87.0,5/22,20.35,3.4,35.8,2,1,ODI,Bowling,Bowling
MM Patel (INDIA),2006-2011,70,67,3154,2603,86.0,4/29,30.26,4.95,36.6,3,0,ODI,Bowling,Bowling
Aamer Sohail (PAK),1990-2000,156,125,4836,3703,85.0,4/22,43.56,4.59,56.8,1,0,ODI,Bowling,Bowling
YS Chahal (INDIA),2016-2019,50,49,2659,2246,85.0,6/42,26.42,5.06,31.2,2,2,ODI,Bowling,Bowling
IJ Harvey (AUS),1997-2004,73,70,3279,2577,85.0,4/16,30.31,4.71,38.5,4,0,ODI,Bowling,Bowling
RM Hogg (AUS),1979-1985,71,67,3677,2418,85.0,4/29,28.44,3.94,43.2,5,0,ODI,Bowling,Bowling
JR Ratnayeke (SL),1982-1990,78,76,3573,2866,85.0,4/23,33.71,4.81,42.0,1,0,ODI,Bowling,Bowling
ME Waugh (AUS),1988-2002,244,120,3687,2938,85.0,5/24,34.56,4.78,43.3,1,1,ODI,Bowling,Bowling
MM Ali (ENG),2014-2019,101,95,4654,4089,84.0,4/46,48.67,5.27,55.4,1,0,ODI,Bowling,Bowling
CD Collymore (WI),1999-2007,84,80,4074,2924,83.0,5/51,35.22,4.3,49.0,1,1,ODI,Bowling,Bowling
Mohammad Irfan (PAK),2010-2016,60,60,3109,2549,83.0,4/30,30.71,4.91,37.4,2,0,ODI,Bowling,Bowling
PV Simmons (WI),1987-1999,143,103,3880,2876,83.0,4/3,34.65,4.44,46.7,2,0,ODI,Bowling,Bowling
Hasan Ali (PAK),2016-2019,53,51,2548,2381,82.0,5/34,29.03,5.6,31.0,1,3,ODI,Bowling,Bowling
MJ McClenaghan (NZ),2013-2016,48,45,2336,2313,82.0,5/58,28.2,5.94,28.4,6,1,ODI,Bowling,Bowling
CG Rackemann (AUS),1983-1991,52,52,2791,1833,82.0,5/16,22.35,3.94,34.0,3,1,ODI,Bowling,Bowling
JEC Franklin (NZ),2001-2013,110,97,3848,3354,81.0,5/42,41.4,5.22,47.5,0,1,ODI,Bowling,Bowling
Mohammad Amir (PAK),2009-2019,61,60,3013,2400,81.0,5/30,29.62,4.77,37.1,1,1,ODI,Bowling,Bowling
DJG Sammy (WI),2004-2015,126,119,4956,3851,81.0,4/26,47.54,4.66,61.1,1,0,ODI,Bowling,Bowling
RGD Willis (ENG),1973-1984,64,64,3595,1968,80.0,4/11,24.6,3.28,44.9,4,0,ODI,Bowling,Bowling
CR Matthews (SA),1991-1997,56,55,3003,1975,79.0,4/10,25.0,3.94,38.0,3,0,ODI,Bowling,Bowling
A Ranatunga (SL),1982-1999,269,135,4710,3757,79.0,4/14,47.55,4.78,59.6,1,0,ODI,Bowling,Bowling
AJ Bichel (AUS),1997-2004,67,66,3257,2463,78.0,7/20,31.57,4.53,41.7,1,2,ODI,Bowling,Bowling
IDR Bradshaw (WI),2004-2007,62,62,3172,2299,78.0,3/15,29.47,4.34,40.6,0,0,ODI,Bowling,Bowling
PJ Ongondo (Afr/KENYA),1999-2011,79,79,3102,2350,78.0,5/51,30.12,4.54,39.7,1,1,ODI,Bowling,Bowling
RMH Binny (INDIA),1980-1987,72,67,2957,2260,77.0,4/29,29.35,4.58,38.4,3,0,ODI,Bowling,Bowling
Iftikhar Anjum (PAK),2004-2010,62,60,2960,2430,77.0,5/30,31.55,4.92,38.4,2,1,ODI,Bowling,Bowling
P Kumar (INDIA),2007-2012,68,67,3242,2774,77.0,4/31,36.02,5.13,42.1,3,0,ODI,Bowling,Bowling
R McLaren (SA),2009-2014,54,51,2403,2102,77.0,4/19,27.29,5.24,31.2,5,0,ODI,Bowling,Bowling
JE Emburey (ENG),1980-1993,61,61,3425,2346,76.0,4/37,30.86,4.1,45.0,2,0,ODI,Bowling,Bowling
SJ Harmison (ENG),2002-2009,58,57,2899,2481,76.0,5/33,32.64,5.13,38.1,2,1,ODI,Bowling,Bowling
