Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Format,Category,Type
Taufeeq Umar (PAK),2001-2014,44,83,5,2963.0,236,37.98,7,14,6,TEST,Batting,Batting
AD Nourse (SA),1935-1951,34,62,7,2960.0,231,53.81,9,14,3,TEST,Batting,Batting
KR Miller (AUS),1946-1956,55,87,7,2958.0,147,36.97,7,13,5,TEST,Batting,Batting
HW Taylor (SA),1912-1932,42,76,4,2936.0,176,40.77,7,17,2,TEST,Batting,Batting
AH Jones (NZ),1987-1995,39,74,8,2922.0,186,44.27,7,11,2,TEST,Batting,Batting
D Ramdin (WI),2005-2016,74,126,14,2898.0,166,25.87,4,15,9,TEST,Batting,Batting
Wasim Akram (PAK),1985-2002,104,147,19,2898.0,257*,22.64,3,7,17,TEST,Batting,Batting
UT Khawaja (AUS),2011-2019,44,77,6,2887.0,174,40.66,8,14,4,TEST,Batting,Batting
SL Campbell (WI),1995-2002,52,93,4,2882.0,208,32.38,4,18,7,TEST,Batting,Batting
AC Parore (NZ),1990-2002,78,128,19,2865.0,110,26.28,2,14,6,TEST,Batting,Batting
WW Armstrong (AUS),1902-1921,50,84,10,2863.0,159*,38.68,6,8,6,TEST,Batting,Batting
ADR Campbell (ZIM),1992-2002,60,109,4,2858.0,103,27.21,2,18,10,TEST,Batting,Batting
GR Marsh (AUS),1985-1992,50,93,7,2854.0,138,33.18,4,15,3,TEST,Batting,Batting
Rameez Raja (PAK),1984-1997,57,94,5,2833.0,122,31.83,2,22,7,TEST,Batting,Batting
Aamer Sohail (PAK),1992-2000,47,83,3,2823.0,205,35.28,5,13,6,TEST,Batting,Batting
Wasim Raja (PAK),1973-1985,57,92,14,2821.0,125,36.16,4,18,8,TEST,Batting,Batting
KR Stackpole (AUS),1966-1974,43,80,5,2807.0,207,37.42,7,14,5,TEST,Batting,Batting
MAK Pataudi (INDIA),1961-1975,46,83,3,2793.0,203*,34.91,6,16,7,TEST,Batting,Batting
KC Wessels (AUS/SA),1982-1994,40,71,3,2788.0,179,41.0,6,15,5,TEST,Batting,Batting
MM Ali (ENG),2014-2019,60,104,8,2782.0,155*,28.97,5,14,14,TEST,Batting,Batting
NCL O'Neill (AUS),1958-1965,42,69,8,2779.0,181,45.55,6,15,6,TEST,Batting,Batting
BKG Mendis (SL),2015-2019,42,82,3,2777.0,196,35.15,6,10,7,TEST,Batting,Batting
MH Richardson (NZ),2000-2004,38,65,3,2776.0,145,44.77,4,19,1,TEST,Batting,Batting
M Leyland (ENG),1928-1938,41,65,5,2764.0,187,46.06,9,10,6,TEST,Batting,Batting
SMH Kirmani (INDIA),1976-1986,88,124,22,2759.0,102,27.04,2,12,7,TEST,Batting,Batting
