Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Format,Category,Type
RA Austin (WI),2009-2009,2,4,0,39.0,19,9.75,0,0,1,TEST,Batting,Batting
SV Bahutule (INDIA),2001-2001,2,4,1,39.0,21*,13.0,0,0,2,TEST,Batting,Batting
JC Balderstone (ENG),1976-1976,2,4,0,39.0,35,9.75,0,0,2,TEST,Batting,Batting
GK Bruk-Jackson (ZIM),1993-1993,2,4,0,39.0,31,9.75,0,0,1,TEST,Batting,Batting
HW Chapman (SA),1914-1921,2,4,1,39.0,17,13.0,0,0,0,TEST,Batting,Batting
TA Copeland (AUS),2011-2011,3,4,1,39.0,23*,13.0,0,0,0,TEST,Batting,Batting
HH Francis (SA),1899-1899,2,4,0,39.0,29,9.75,0,0,0,TEST,Batting,Batting
D Gamsy (SA),1970-1970,2,3,1,39.0,30*,19.5,0,0,0,TEST,Batting,Batting
M Jahangir Khan (INDIA),1932-1936,4,7,0,39.0,13,5.57,0,0,1,TEST,Batting,Batting
TK Kendall (AUS),1877-1877,2,4,1,39.0,17*,13.0,0,0,0,TEST,Batting,Batting
Masood Anwar (PAK),1990-1990,1,2,0,39.0,37,19.5,0,0,0,TEST,Batting,Batting
JV Saunders (AUS),1902-1908,14,23,6,39.0,11*,2.29,0,0,8,TEST,Batting,Batting
Shaheen Shah Afridi (PAK),2018-2019,7,11,2,39.0,14,4.33,0,0,3,TEST,Batting,Batting
VI Smith (SA),1947-1957,9,16,6,39.0,11*,3.9,0,0,4,TEST,Batting,Batting
KPJ Warnaweera (SL),1986-1994,10,12,3,39.0,20,4.33,0,0,3,TEST,Batting,Batting
JR Watkins (AUS),1973-1973,1,2,1,39.0,36,39.0,0,0,0,TEST,Batting,Batting
GF Bissett (SA),1927-1928,4,4,2,38.0,23,19.0,0,0,0,TEST,Batting,Batting
EH Bromley (AUS),1933-1934,2,4,0,38.0,26,9.5,0,0,0,TEST,Batting,Batting
JA Dunning (NZ),1933-1937,4,6,1,38.0,19,7.6,0,0,2,TEST,Batting,Batting
Elias Sunny (BDESH),2011-2013,4,6,1,38.0,20*,7.6,0,0,2,TEST,Batting,Batting
KHRK Fernando (SL),2002-2002,2,4,0,38.0,24,9.5,0,0,2,TEST,Batting,Batting
HHH Johnson (WI),1948-1950,3,4,0,38.0,22,9.5,0,0,1,TEST,Batting,Batting
IJ Jones (ENG),1964-1968,15,17,9,38.0,16,4.75,0,0,2,TEST,Batting,Batting
CP McGahey (ENG),1902-1902,2,4,0,38.0,18,9.5,0,0,1,TEST,Batting,Batting
EM Meuli (NZ),1953-1953,1,2,0,38.0,23,19.0,0,0,0,TEST,Batting,Batting
FM Misson (AUS),1960-1961,5,5,3,38.0,25*,19.0,0,0,1,TEST,Batting,Batting
J Nyumbu (ZIM),2014-2016,3,6,1,38.0,14,7.6,0,0,0,TEST,Batting,Batting
J Ormond (ENG),2001-2001,2,4,1,38.0,18,12.66,0,0,1,TEST,Batting,Batting
B Reddy (INDIA),1979-1979,4,5,1,38.0,21,9.5,0,0,2,TEST,Batting,Batting
GH Shepstone (SA),1896-1899,2,4,0,38.0,21,9.5,0,0,1,TEST,Batting,Batting
DR Smith (ENG),1961-1962,5,5,1,38.0,34,9.5,0,0,2,TEST,Batting,Batting
G Wijekoon (SL),2005-2005,2,3,0,38.0,14,12.66,0,0,0,TEST,Batting,Batting
NF Williams (ENG),1990-1990,1,1,0,38.0,38,38.0,0,0,0,TEST,Batting,Batting
LH Gay (ENG),1894-1894,1,2,0,37.0,33,18.5,0,0,0,TEST,Batting,Batting
MJ Hilton (ENG),1950-1952,4,6,1,37.0,15,7.4,0,0,2,TEST,Batting,Batting
WE Hollies (ENG),1935-1950,13,15,8,37.0,18*,5.28,0,0,4,TEST,Batting,Batting
DEJ Ironside (SA),1953-1954,3,4,2,37.0,13,18.5,0,0,0,TEST,Batting,Batting
Mohsin Kamal (PAK),1984-1994,9,11,7,37.0,13*,9.25,0,0,1,TEST,Batting,Batting
DJ Pagon (WI),2005-2005,2,3,0,37.0,35,12.33,0,0,1,TEST,Batting,Batting
Syed Rasel (BDESH),2005-2007,6,12,4,37.0,19,4.62,0,0,2,TEST,Batting,Batting
Usman Salahuddin (PAK),2018-2018,1,2,0,37.0,33,18.5,0,0,0,TEST,Batting,Batting
EW Clark (ENG),1929-1934,8,9,5,36.0,10,9.0,0,0,1,TEST,Batting,Batting
WL Cornford (ENG),1930-1930,4,4,0,36.0,18,9.0,0,0,0,TEST,Batting,Batting
SKL de Silva (SL),1997-1997,3,4,2,36.0,20*,18.0,0,0,1,TEST,Batting,Batting
EM Grace (ENG),1880-1880,1,2,0,36.0,36,18.0,0,0,1,TEST,Batting,Batting
Mohammad Ramzan (PAK),1997-1997,1,2,0,36.0,29,18.0,0,0,0,TEST,Batting,Batting
JP Stephenson (ENG),1989-1989,1,2,0,36.0,25,18.0,0,0,0,TEST,Batting,Batting
FA Ward (AUS),1936-1938,4,8,2,36.0,18,6.0,0,0,2,TEST,Batting,Batting
VR Aaron (INDIA),2011-2015,9,14,5,35.0,9,3.88,0,0,1,TEST,Batting,Batting
Amir Hamza (AFG),2019-2019,1,2,0,35.0,34,17.5,0,0,0,TEST,Batting,Batting
J Angel (AUS),1993-1995,4,7,1,35.0,11,5.83,0,0,2,TEST,Batting,Batting
GB Brent (ZIM),1999-2001,4,6,0,35.0,25,5.83,0,0,3,TEST,Batting,Batting
DE Hoare (AUS),1961-1961,1,2,0,35.0,35,17.5,0,0,1,TEST,Batting,Batting
RG Holland (AUS),1984-1986,11,15,4,35.0,10,3.18,0,0,7,TEST,Batting,Batting
NV Lindsay (SA),1921-1921,1,2,0,35.0,29,17.5,0,0,0,TEST,Batting,Batting
EA Moseley (WI),1990-1990,2,4,0,35.0,26,8.75,0,0,1,TEST,Batting,Batting
PC Strydom (SA),2000-2000,2,3,0,35.0,30,11.66,0,0,0,TEST,Batting,Batting
GE Tribe (AUS),1946-1947,3,3,1,35.0,25*,17.5,0,0,0,TEST,Batting,Batting
VA Valentine (WI),1933-1933,2,4,1,35.0,19*,11.66,0,0,1,TEST,Batting,Batting
J Arnold (ENG),1931-1931,1,2,0,34.0,34,17.0,0,0,1,TEST,Batting,Batting
AR Butcher (ENG),1979-1979,1,2,0,34.0,20,17.0,0,0,0,TEST,Batting,Batting
MG Grell (WI),1930-1930,1,2,0,34.0,21,17.0,0,0,0,TEST,Batting,Batting
RNS Hobbs (ENG),1967-1971,7,8,3,34.0,15*,6.8,0,0,1,TEST,Batting,Batting
AP Kuiper (SA),1992-1992,1,2,0,34.0,34,17.0,0,0,1,TEST,Batting,Batting
M Mbangwa (ZIM),1996-2000,15,25,8,34.0,8,2.0,0,0,9,TEST,Batting,Batting
CA Merry (WI),1933-1933,2,4,0,34.0,13,8.5,0,0,0,TEST,Batting,Batting
Mohammad Aslam (PAK),1954-1954,1,2,0,34.0,18,17.0,0,0,0,TEST,Batting,Batting
Mohammad Talha (PAK),2009-2014,4,5,1,34.0,19,8.5,0,0,1,TEST,Batting,Batting
Nadeem Khan (PAK),1993-1999,2,3,1,34.0,25,17.0,0,0,0,TEST,Batting,Batting
PJ Petherick (NZ),1976-1977,6,11,4,34.0,13,4.85,0,0,1,TEST,Batting,Batting
JP Taylor (ENG),1993-1994,2,4,2,34.0,17*,17.0,0,0,1,TEST,Batting,Batting
T Armitage (ENG),1877-1877,2,3,0,33.0,21,11.0,0,0,0,TEST,Batting,Batting
AW Briscoe (SA),1935-1939,2,3,0,33.0,16,11.0,0,0,0,TEST,Batting,Batting
Farhan Adil (PAK),2003-2003,1,2,0,33.0,25,16.5,0,0,0,TEST,Batting,Batting
AJ Fothergill (ENG),1889-1889,2,2,0,33.0,32,16.5,0,0,0,TEST,Batting,Batting
Israr Ali (PAK),1952-1959,4,8,1,33.0,10,4.71,0,0,1,TEST,Batting,Batting
P Krishnamurthy (INDIA),1971-1971,5,6,0,33.0,20,5.5,0,0,2,TEST,Batting,Batting
MJ Macaulay (SA),1965-1965,1,2,0,33.0,21,16.5,0,0,0,TEST,Batting,Batting
Mohammad Nabi (AFG),2018-2019,3,6,0,33.0,24,5.5,0,0,3,TEST,Batting,Batting
J Newman (NZ),1932-1933,3,4,0,33.0,19,8.25,0,0,0,TEST,Batting,Batting
PDRL Perera (SL),1999-2002,8,9,6,33.0,11*,11.0,0,0,1,TEST,Batting,Batting
KM Rangnekar (INDIA),1947-1948,3,6,0,33.0,18,5.5,0,0,2,TEST,Batting,Batting
DW Richardson (ENG),1957-1957,1,1,0,33.0,33,33.0,0,0,0,TEST,Batting,Batting
TPB Smith (ENG),1946-1947,4,5,0,33.0,24,6.6,0,0,0,TEST,Batting,Batting
Vizianagram (INDIA),1936-1936,3,6,2,33.0,19*,8.25,0,0,0,TEST,Batting,Batting
Bazid Khan (PAK),2005-2005,1,2,0,32.0,23,16.0,0,0,0,TEST,Batting,Batting
NT Broom (NZ),2017-2017,2,3,0,32.0,20,10.66,0,0,1,TEST,Batting,Batting
N Gallichan (NZ),1937-1937,1,2,0,32.0,30,16.0,0,0,0,TEST,Batting,Batting
MEZ Ghazali (PAK),1954-1954,2,4,0,32.0,18,8.0,0,0,2,TEST,Batting,Batting
RJ Kirtley (ENG),2003-2003,4,7,1,32.0,12,5.33,0,0,0,TEST,Batting,Batting
Aamer Nazir (PAK),1993-1995,6,11,6,31.0,11,6.2,0,0,2,TEST,Batting,Batting
AG Archer (ENG),1899-1899,1,2,1,31.0,24*,31.0,0,0,0,TEST,Batting,Batting
Arshad Khan (PAK),1997-2005,9,8,2,31.0,9*,5.16,0,0,1,TEST,Batting,Batting
J Cranston (ENG),1890-1890,1,2,0,31.0,16,15.5,0,0,0,TEST,Batting,Batting
GR Dickinson (NZ),1930-1932,3,5,0,31.0,11,6.2,0,0,0,TEST,Batting,Batting
JA Flavell (ENG),1961-1964,4,6,2,31.0,14,7.75,0,0,0,TEST,Batting,Batting
RM Harris (NZ),1959-1959,2,3,0,31.0,13,10.33,0,0,0,TEST,Batting,Batting
RB Kerr (AUS),1985-1985,2,4,0,31.0,17,7.75,0,0,1,TEST,Batting,Batting
N Puna (NZ),1966-1966,3,5,3,31.0,18*,15.5,0,0,0,TEST,Batting,Batting
GB Studd (ENG),1882-1883,4,7,0,31.0,9,4.42,0,0,1,TEST,Batting,Batting
S Viswanath (INDIA),1985-1985,3,5,0,31.0,20,6.2,0,0,2,TEST,Batting,Batting
DJ White (NZ),1990-1990,2,4,0,31.0,18,7.75,0,0,0,TEST,Batting,Batting
Yamin Ahmadzai (AFG),2018-2019,4,7,0,31.0,18,4.42,0,0,2,TEST,Batting,Batting
JP Duminy (SA),1927-1929,3,6,0,30.0,12,5.0,0,0,1,TEST,Batting,Batting
MC Frederick (WI),1954-1954,1,2,0,30.0,30,15.0,0,0,1,TEST,Batting,Batting
CG Halse (SA),1964-1964,3,3,3,30.0,19*,0.0,0,0,0,TEST,Batting,Batting
HTW Hardinge (ENG),1921-1921,1,2,0,30.0,25,15.0,0,0,0,TEST,Batting,Batting
WK Hegg (ENG),1998-1999,2,4,0,30.0,15,7.5,0,0,0,TEST,Batting,Batting
MDUS Jayasundera (SL),2015-2015,2,4,0,30.0,26,7.5,0,0,1,TEST,Batting,Batting
LJ Nash (AUS),1932-1937,2,2,0,30.0,17,15.0,0,0,0,TEST,Batting,Batting
S Nazir Ali (INDIA),1932-1934,2,4,0,30.0,13,7.5,0,0,0,TEST,Batting,Batting
ES Newson (SA),1930-1939,3,5,1,30.0,16,7.5,0,0,0,TEST,Batting,Batting
G Onions (ENG),2009-2012,9,10,7,30.0,17*,10.0,0,0,3,TEST,Batting,Batting
FE Rumsey (ENG),1964-1965,5,5,3,30.0,21*,15.0,0,0,0,TEST,Batting,Batting
JW Rutherford (AUS),1956-1956,1,1,0,30.0,30,30.0,0,0,0,TEST,Batting,Batting
RA Saggers (AUS),1948-1950,6,5,2,30.0,14,10.0,0,0,0,TEST,Batting,Batting
M Sherwin (ENG),1887-1888,3,6,4,30.0,21*,15.0,0,0,1,TEST,Batting,Batting
DBM Smith (AUS),1912-1912,2,3,1,30.0,24*,15.0,0,0,1,TEST,Batting,Batting
V Yadav (INDIA),1993-1993,1,1,0,30.0,30,30.0,0,0,0,TEST,Batting,Batting
Zahoor Elahi (PAK),1996-1996,2,3,0,30.0,22,10.0,0,0,0,TEST,Batting,Batting
KV Andrew (ENG),1954-1963,2,4,1,29.0,15,9.66,0,0,0,TEST,Batting,Batting
PC Charlton (AUS),1890-1890,2,4,0,29.0,11,7.25,0,0,0,TEST,Batting,Batting
Ijaz Ahmed jnr (PAK),1995-1995,2,3,0,29.0,16,9.66,0,0,0,TEST,Batting,Batting
PE Palia (INDIA),1932-1936,2,4,1,29.0,16,9.66,0,0,0,TEST,Batting,Batting
JH Parks (ENG),1937-1937,1,2,0,29.0,22,14.5,0,0,0,TEST,Batting,Batting
MD Shanaka (SL),2016-2017,3,6,1,29.0,17,5.8,0,0,2,TEST,Batting,Batting
IR Siddiqui (INDIA),2001-2001,1,2,1,29.0,24,29.0,0,0,0,TEST,Batting,Batting
CEW Silverwood (ENG),1996-2002,6,7,3,29.0,10,7.25,0,0,2,TEST,Batting,Batting
PB Truscott (NZ),1965-1965,1,2,0,29.0,26,14.5,0,0,0,TEST,Batting,Batting
F Barratt (ENG),1929-1930,5,4,1,28.0,17,9.33,0,0,0,TEST,Batting,Batting
WE Bowes (ENG),1932-1946,15,11,5,28.0,10*,4.66,0,0,2,TEST,Batting,Batting
CAR Duckworth (SA),1957-1957,2,4,0,28.0,13,7.0,0,0,0,TEST,Batting,Batting
FAW Freer (AUS),1946-1946,1,1,1,28.0,28*,0.0,0,0,0,TEST,Batting,Batting
SR Gillespie (NZ),1986-1986,1,1,0,28.0,28,28.0,0,0,0,TEST,Batting,Batting
BP Gupte (INDIA),1961-1965,3,3,2,28.0,17*,28.0,0,0,0,TEST,Batting,Batting
JR Hammond (AUS),1973-1973,5,5,2,28.0,19,9.33,0,0,1,TEST,Batting,Batting
MC Ilott (ENG),1993-1995,5,6,2,28.0,15,7.0,0,0,0,TEST,Batting,Batting
RJ Kennedy (NZ),1996-1996,4,5,1,28.0,22,7.0,0,0,2,TEST,Batting,Batting
Liaqat Ali (PAK),1975-1978,5,7,3,28.0,12,7.0,0,0,1,TEST,Batting,Batting
CN McCarthy (SA),1948-1951,15,24,15,28.0,5,3.11,0,0,6,TEST,Batting,Batting
JN Maguire (AUS),1983-1984,3,5,1,28.0,15*,7.0,0,0,2,TEST,Batting,Batting
Mohammad Irfan (PAK),2013-2013,4,7,2,28.0,14,5.6,0,0,2,TEST,Batting,Batting
RJ Nicol (NZ),2012-2012,2,4,0,28.0,19,7.0,0,0,0,TEST,Batting,Batting
AT Roberts (WI),1956-1956,1,2,0,28.0,28,14.0,0,0,1,TEST,Batting,Batting
J Shuter (ENG),1888-1888,1,1,0,28.0,28,28.0,0,0,0,TEST,Batting,Batting
GB Stevenson (ENG),1980-1981,2,2,1,28.0,27*,28.0,0,0,0,TEST,Batting,Batting
R Vijay Bharadwaj (INDIA),1999-2000,3,3,0,28.0,22,9.33,0,0,1,TEST,Batting,Batting
MD Wettimuny (SL),1983-1983,2,4,0,28.0,17,7.0,0,0,1,TEST,Batting,Batting
JA Young (ENG),1947-1949,8,10,5,28.0,10*,5.6,0,0,3,TEST,Batting,Batting
GI Allott (NZ),1996-1999,10,15,7,27.0,8*,3.37,0,0,4,TEST,Batting,Batting
RMH Cottam (ENG),1969-1973,4,5,1,27.0,13,6.75,0,0,0,TEST,Batting,Batting
LV Garrick (WI),2001-2001,1,2,0,27.0,27,13.5,0,0,1,TEST,Batting,Batting
RK Kleinveldt (SA),2012-2013,4,5,2,27.0,17*,9.0,0,0,2,TEST,Batting,Batting
J Lewis (ENG),2006-2006,1,2,0,27.0,20,13.5,0,0,0,TEST,Batting,Batting
NJ Maddinson (AUS),2016-2016,3,4,0,27.0,22,6.75,0,0,1,TEST,Batting,Batting
RR Singh (INDIA),1998-1998,1,2,0,27.0,15,13.5,0,0,0,TEST,Batting,Batting
EA van der Merwe (SA),1929-1936,2,4,1,27.0,19,9.0,0,0,1,TEST,Batting,Batting
AJ Woodcock (AUS),1974-1974,1,1,0,27.0,27,27.0,0,0,0,TEST,Batting,Batting
RA Young (ENG),1907-1908,2,4,0,27.0,13,6.75,0,0,1,TEST,Batting,Batting
Atiq-uz-Zaman (PAK),2000-2000,1,2,0,26.0,25,13.0,0,0,0,TEST,Batting,Batting
IW Callen (AUS),1978-1978,1,2,2,26.0,22*,0.0,0,0,0,TEST,Batting,Batting
TW Cartwright (ENG),1964-1965,5,7,2,26.0,9,5.2,0,0,2,TEST,Batting,Batting
IA Greig (ENG),1982-1982,2,4,0,26.0,14,6.5,0,0,0,TEST,Batting,Batting
A Habib (ENG),1999-1999,2,3,0,26.0,19,8.66,0,0,0,TEST,Batting,Batting
F Kuys (SA),1899-1899,1,2,0,26.0,26,13.0,0,0,1,TEST,Batting,Batting
PG McShane (AUS),1885-1888,3,6,1,26.0,12*,5.2,0,0,3,TEST,Batting,Batting
JW Martin (ENG),1947-1947,1,2,0,26.0,26,13.0,0,0,1,TEST,Batting,Batting
W Newham (ENG),1888-1888,1,2,0,26.0,17,13.0,0,0,0,TEST,Batting,Batting
D Olivier (SA),2017-2019,10,12,5,26.0,10*,3.71,0,0,3,TEST,Batting,Batting
JE Pothecary (SA),1960-1960,3,4,0,26.0,12,6.5,0,0,0,TEST,Batting,Batting
K Rai Singh (INDIA),1948-1948,1,2,0,26.0,24,13.0,0,0,0,TEST,Batting,Batting
RR Ramdass (WI),2005-2005,1,2,0,26.0,23,13.0,0,0,0,TEST,Batting,Batting
GA Rowe (SA),1896-1902,5,9,3,26.0,13*,4.33,0,0,3,TEST,Batting,Batting
GC Viljoen (SA),2016-2016,1,2,1,26.0,20*,26.0,0,0,0,TEST,Batting,Batting
CH Vintcent (SA),1889-1892,3,6,0,26.0,9,4.33,0,0,1,TEST,Batting,Batting
Atif Rauf (PAK),1994-1994,1,2,0,25.0,16,12.5,0,0,0,TEST,Batting,Batting
MP Bowden (ENG),1889-1889,2,2,0,25.0,25,12.5,0,0,1,TEST,Batting,Batting
RG Draper (SA),1950-1950,2,3,0,25.0,15,8.33,0,0,0,TEST,Batting,Batting
D Ganesh (INDIA),1997-1997,4,7,3,25.0,8,6.25,0,0,0,TEST,Batting,Batting
GM Griffin (SA),1960-1960,2,4,0,25.0,14,6.25,0,0,1,TEST,Batting,Batting
LJ Johnson (AUS),1948-1948,1,1,1,25.0,25*,0.0,0,0,0,TEST,Batting,Batting
AJ McKay (NZ),2010-2010,1,2,1,25.0,20*,25.0,0,0,0,TEST,Batting,Batting
CH Mills (SA),1892-1892,1,2,0,25.0,21,12.5,0,0,0,TEST,Batting,Batting
Mohammad Salman (PAK),2011-2011,2,4,0,25.0,13,6.25,0,0,1,TEST,Batting,Batting
TA Munton (ENG),1992-1992,2,2,1,25.0,25*,25.0,0,0,1,TEST,Batting,Batting
JM Patel (INDIA),1955-1960,7,10,1,25.0,12,2.77,0,0,5,TEST,Batting,Batting
RC Saxena (INDIA),1967-1967,1,2,0,25.0,16,12.5,0,0,0,TEST,Batting,Batting
Shahid Mahmood (PAK),1962-1962,1,2,0,25.0,16,12.5,0,0,0,TEST,Batting,Batting
IM Sinclair (NZ),1956-1956,2,4,1,25.0,18*,8.33,0,0,2,TEST,Batting,Batting
TF Smailes (ENG),1946-1946,1,1,0,25.0,25,25.0,0,0,0,TEST,Batting,Batting
DV Smith (ENG),1957-1957,3,4,1,25.0,16*,8.33,0,0,1,TEST,Batting,Batting
VM Tancred (SA),1899-1899,1,2,0,25.0,18,12.5,0,0,0,TEST,Batting,Batting
GC Tonge (WI),2009-2009,1,2,1,25.0,23*,25.0,0,0,0,TEST,Batting,Batting
SL Watkin (ENG),1991-1993,3,5,0,25.0,13,5.0,0,0,1,TEST,Batting,Batting
Abu Jayed (BDESH),2018-2019,7,14,6,24.0,7*,3.0,0,0,4,TEST,Batting,Batting
DD Blackie (AUS),1928-1929,3,6,3,24.0,11*,8.0,0,0,2,TEST,Batting,Batting
BP Bracewell (NZ),1978-1985,6,12,2,24.0,8,2.4,0,0,5,TEST,Batting,Batting
Kabir Khan (PAK),1994-1995,4,5,2,24.0,10,8.0,0,0,1,TEST,Batting,Batting
NA Knox (ENG),1907-1907,2,4,1,24.0,8*,8.0,0,0,0,TEST,Batting,Batting
SH Lewis (WI),2018-2018,2,4,0,24.0,20,6.0,0,0,2,TEST,Batting,Batting
MAWR Madurasinghe (SL),1988-1992,3,6,1,24.0,11,4.8,0,0,1,TEST,Batting,Batting
AM Miller (ENG),1896-1896,1,2,2,24.0,20*,0.0,0,0,0,TEST,Batting,Batting
Mohammad Akram (PAK),1995-2001,9,15,6,24.0,10*,2.66,0,0,5,TEST,Batting,Batting
F Mutizwa (ZIM),2012-2012,1,2,0,24.0,18,12.0,0,0,0,TEST,Batting,Batting
CEL Stuart (WI),2000-2001,6,9,2,24.0,12*,3.42,0,0,2,TEST,Batting,Batting
Sunzamul Islam (BDESH),2018-2018,1,1,0,24.0,24,24.0,0,0,0,TEST,Batting,Batting
Zulqarnain (PAK),1986-1986,3,4,0,24.0,13,6.0,0,0,0,TEST,Batting,Batting
LS Baker (WI),2008-2009,4,6,4,23.0,17,11.5,0,0,1,TEST,Batting,Batting
VA Barton (ENG),1892-1892,1,1,0,23.0,23,23.0,0,0,0,TEST,Batting,Batting
WM Bradley (ENG),1899-1899,2,2,1,23.0,23*,23.0,0,0,1,TEST,Batting,Batting
IP Butchart (ZIM),1995-1995,1,2,0,23.0,15,11.5,0,0,0,TEST,Batting,Batting
PH Carlson (AUS),1979-1979,2,4,0,23.0,21,5.75,0,0,2,TEST,Batting,Batting
FE Fisher (NZ),1953-1953,1,2,0,23.0,14,11.5,0,0,0,TEST,Batting,Batting
RA Jones (NZ),2003-2003,1,2,0,23.0,16,11.5,0,0,0,TEST,Batting,Batting
RC Miller (WI),1953-1953,1,1,0,23.0,23,23.0,0,0,0,TEST,Batting,Batting
Qais Ahmad (AFG),2019-2019,1,2,0,23.0,14,11.5,0,0,0,TEST,Batting,Batting
AW Seccull (SA),1896-1896,1,2,1,23.0,17*,23.0,0,0,0,TEST,Batting,Batting
ML Udawatte (SL),2018-2018,2,4,0,23.0,19,5.75,0,0,2,TEST,Batting,Batting
BA Williams (AUS),2003-2004,4,6,3,23.0,10*,7.66,0,0,1,TEST,Batting,Batting
B Andrews (NZ),1973-1974,2,3,2,22.0,17,22.0,0,0,0,TEST,Batting,Batting
Anwar Hossain Monir (BDESH),2003-2005,3,6,3,22.0,13,7.33,0,0,1,TEST,Batting,Batting
RA Austin (WI),1978-1978,2,2,0,22.0,20,11.0,0,0,0,TEST,Batting,Batting
HR Butt (ENG),1896-1896,3,4,1,22.0,13,7.33,0,0,1,TEST,Batting,Batting
HG Gaekwad (INDIA),1952-1952,1,2,0,22.0,14,11.0,0,0,0,TEST,Batting,Batting
C Karunaratne (SL),2019-2019,1,2,0,22.0,22,11.0,0,0,1,TEST,Batting,Batting
CKB Kulasekara (SL),2011-2011,1,2,0,22.0,15,11.0,0,0,0,TEST,Batting,Batting
PE McIntyre (AUS),1995-1996,2,4,1,22.0,16,7.33,0,0,2,TEST,Batting,Batting
G Noblet (AUS),1950-1953,3,4,1,22.0,13*,7.33,0,0,1,TEST,Batting,Batting
CH Palmer (ENG),1954-1954,1,2,0,22.0,22,11.0,0,0,1,TEST,Batting,Batting
WN Phillips (AUS),1992-1992,1,2,0,22.0,14,11.0,0,0,0,TEST,Batting,Batting
D Pretorius (SA),2002-2003,4,4,1,22.0,9,7.33,0,0,1,TEST,Batting,Batting
CAK Rajitha (SL),2018-2019,7,9,2,22.0,12,3.14,0,0,2,TEST,Batting,Batting
DA Renneberg (AUS),1966-1968,8,13,7,22.0,9,3.66,0,0,3,TEST,Batting,Batting
SV Samuelson (SA),1910-1910,1,2,0,22.0,15,11.0,0,0,0,TEST,Batting,Batting
Tareq Aziz (BDESH),2004-2004,3,6,4,22.0,10*,11.0,0,0,2,TEST,Batting,Batting
AL Thomson (AUS),1970-1971,4,5,4,22.0,12*,22.0,0,0,1,TEST,Batting,Batting
RGCE Wijesuriya (SL),1982-1985,4,7,2,22.0,8,4.4,0,0,2,TEST,Batting,Batting
W Bell (NZ),1954-1954,2,3,3,21.0,21*,0.0,0,0,0,TEST,Batting,Batting
MI Black (WI),2000-2002,6,11,3,21.0,6,2.62,0,0,4,TEST,Batting,Batting
W Brearley (ENG),1905-1912,4,5,2,21.0,11*,7.0,0,0,2,TEST,Batting,Batting
G Cripps (SA),1892-1892,1,2,0,21.0,18,10.5,0,0,0,TEST,Batting,Batting
Ehsan Adil (PAK),2013-2015,3,4,0,21.0,12,5.25,0,0,2,TEST,Batting,Batting
NR Ferreira (ZIM),2005-2005,1,2,0,21.0,16,10.5,0,0,0,TEST,Batting,Batting
GK Glover (SA),1896-1896,1,2,1,21.0,18*,21.0,0,0,0,TEST,Batting,Batting
JC Hill (AUS),1953-1955,3,6,3,21.0,8*,7.0,0,0,1,TEST,Batting,Batting
AN Hornby (ENG),1879-1884,3,6,0,21.0,9,3.5,0,0,1,TEST,Batting,Batting
JD Lindsay (SA),1947-1947,3,5,2,21.0,9*,7.0,0,0,2,TEST,Batting,Batting
MJ McCague (ENG),1993-1994,3,5,0,21.0,11,4.2,0,0,2,TEST,Batting,Batting
GA Manou (AUS),2009-2009,1,2,1,21.0,13*,21.0,0,0,0,TEST,Batting,Batting
WP Masakadza (ZIM),2018-2018,1,2,0,21.0,17,10.5,0,0,0,TEST,Batting,Batting
T Meale (NZ),1958-1958,2,4,0,21.0,10,5.25,0,0,0,TEST,Batting,Batting
LE Nagel (AUS),1932-1932,1,2,1,21.0,21*,21.0,0,0,1,TEST,Batting,Batting
DJ Pattinson (ENG),2008-2008,1,2,0,21.0,13,10.5,0,0,0,TEST,Batting,Batting
NV Radford (ENG),1986-1988,3,4,1,21.0,12*,7.0,0,0,1,TEST,Batting,Batting
JC Reedman (AUS),1894-1894,1,2,0,21.0,17,10.5,0,0,0,TEST,Batting,Batting
VPFA Royle (ENG),1879-1879,1,2,0,21.0,18,10.5,0,0,0,TEST,Batting,Batting
J Trim (WI),1948-1952,4,5,1,21.0,12,5.25,0,0,2,TEST,Batting,Batting
GL Wight (WI),1953-1953,1,1,0,21.0,21,21.0,0,0,0,TEST,Batting,Batting
RD Woolley (AUS),1983-1984,2,2,0,21.0,13,10.5,0,0,0,TEST,Batting,Batting
RRS Cornwall (WI),2019-2019,2,3,0,20.0,14,6.66,0,0,0,TEST,Batting,Batting
HT Davis (NZ),1994-1997,5,7,4,20.0,8*,6.66,0,0,0,TEST,Batting,Batting
F de Wet (SA),2009-2010,2,2,0,20.0,20,10.0,0,0,1,TEST,Batting,Batting
CJ Eady (AUS),1896-1902,2,4,1,20.0,10*,6.66,0,0,0,TEST,Batting,Batting
I Khan (SA),2009-2009,1,1,0,20.0,20,20.0,0,0,0,TEST,Batting,Batting
LA Markham (SA),1949-1949,1,1,0,20.0,20,20.0,0,0,0,TEST,Batting,Batting
T Maruma (ZIM),2013-2013,1,2,0,20.0,10,10.0,0,0,0,TEST,Batting,Batting
TB Mitchell (ENG),1933-1935,5,6,2,20.0,9,5.0,0,0,1,TEST,Batting,Batting
Naved Latif (PAK),2002-2002,1,2,0,20.0,20,10.0,0,0,1,TEST,Batting,Batting
SS Schultz (ENG),1879-1879,1,2,1,20.0,20,20.0,0,0,0,TEST,Batting,Batting
T Shamsi (SA),2016-2018,2,4,3,20.0,18*,20.0,0,0,0,TEST,Batting,Batting
